outcome,model,design_type,estimand,n_obs,events,event_rate,term,estimate,std.error,statistic,p.value,p_formatted,effect,effect_low,effect_high
death_w2_w4,svycox_death_plus_frailty,public_psu,survey_HR,12562,1197,0.0952873746218755,bmi_w1,-0.0013643924196543567,0.0029531130025839993,-0.46201835773317906,0.6440681558234672,0.644,0.9986365379405094,0.9928730243039533,1.0044335081104045
death_w2_w4,svycox_death_raw_pef_sensitivity,public_psu,survey_HR,12569,1198,0.0953138674516668,pef_per_100_l_min,-0.2597390483021206,0.041976184257653024,-6.187771778106901,6.102058459369869e-10,<0.001,0.7712528192790009,0.7103394181489645,0.8373896985695167
death_w2_w4,svycox_death_raw_pef_sensitivity,public_psu,survey_HR,12569,1198,0.0953138674516668,age_decade,0.8391434204341817,0.053336733986373314,15.732935965831157,8.994204964540701e-56,<0.001,2.314383673711553,2.084655099828507,2.5694282903599848
death_w2_w4,svycox_death_raw_pef_sensitivity,public_psu,survey_HR,12569,1198,0.0953138674516668,sexmale,0.7274645926298722,0.17694532344806724,4.1112394408286255,3.9354081895954085e-5,<0.001,2.069826096985173,1.4632379567447813,2.9278765302751943
death_w2_w4,svycox_death_raw_pef_sensitivity,public_psu,survey_HR,12569,1198,0.0953138674516668,smoke_everyes,0.31497852873095517,0.13541643882630228,2.325999202615097,0.020018593220215274,0.020,1.3702298900665228,1.0508110647743594,1.7867436065063491
death_w2_w4,svycox_death_raw_pef_sensitivity,public_psu,survey_HR,12569,1198,0.0953138674516668,bmi_w1,-0.004911585059497636,0.006814204106821185,-0.7207863137796269,0.47104099725177995,0.471,0.9951004570510504,0.9818984129543737,1.0084800082768062
death_w2_w4,svycox_death_raw_pef_sensitivity,public_psu,survey_HR,12569,1198,0.0953138674516668,height_m_w1,-1.6840185849366605,0.7605139117711671,-2.214316607325086,0.026807006984001035,0.027,0.18562651925189727,0.04180974419070916,0.8241429197079844
incident_chronic_lung_disease,svyglm_discrete_time,public_psu,survey_OR,30685,1330,0.043343653250773995,(Intercept),-5.706573865994886,0.579795243961359,-9.842395096250922,7.392951269257326e-23,<0.001,0.0033240416699054057,0.0010669271930752067,0.01035614528805872
incident_chronic_lung_disease,svyglm_discrete_time,public_psu,survey_OR,30685,1330,0.043343653250773995,resp_vulnerability_z,0.23234697054674647,0.05620850111635526,4.133662451979872,3.570277269401683e-5,<0.001,1.2615573761511285,1.129955564340626,1.4084863719840517
incident_chronic_lung_disease,svyglm_discrete_time,public_psu,survey_OR,30685,1330,0.043343653250773995,age_decade,0.2641928715497134,0.042754462284689376,6.179305210074467,6.438431866053924e-10,<0.001,1.3023793640048138,1.1976893099768338,1.4162203784038045
incident_chronic_lung_disease,svyglm_discrete_time,public_psu,survey_OR,30685,1330,0.043343653250773995,sexmale,0.02777623508489103,0.10196511691807014,0.2724091917357333,0.7853074058744715,0.785,1.0281655912927468,0.8419156953209251,1.2556179781342647
incident_chronic_lung_disease,svyglm_discrete_time,public_psu,survey_OR,30685,1330,0.043343653250773995,smoke_everyes,0.504360435571866,0.10696800601517596,4.715058776549602,2.4164098474942786e-6,<0.001,1.655926110280676,1.3427277024500226,2.0421797194665032
incident_chronic_lung_disease,svyglm_discrete_time,public_psu,survey_OR,30685,1330,0.043343653250773995,bmi_w1,-0.020678506220591412,0.019024286208484377,-1.0869530658852942,0.2770575523958093,0.277,0.9795338279858504,0.943681930927911,1.01674779258003
incident_chronic_lung_disease,svyglm_discrete_time,public_psu,survey_OR,30685,1330,0.043343653250773995,factor(interval)2,1.2723226455167023,0.13780397647280734,9.232844204374377,2.6353924356401764e-20,<0.001,3.5691327728696023,2.724341783585815,4.675884952146129
incident_chronic_lung_disease,svyglm_discrete_time,public_psu,survey_OR,30685,1330,0.043343653250773995,factor(interval)3,1.8458662019460779,0.122485613457901,15.070065372048878,2.5486074627797713e-51,<0.001,6.333583577446119,4.981815583367223,8.052140883421027
incident_chronic_lung_disease,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,30675,1329,0.04332518337408313,(Intercept),-5.617012595414327,0.5721311593437914,-9.817700895467372,9.447355084854195e-23,<0.001,0.0036354855687653763,0.0011845531457240796,0.011157587456848405
incident_chronic_lung_disease,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,30675,1329,0.04332518337408313,resp_vulnerability_z,0.19427901448354898,0.056710663295337436,3.4257933727874765,6.130065269072067e-4,<0.001,1.214435080666137,1.0866788457843266,1.3572110756311537
incident_chronic_lung_disease,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,30675,1329,0.04332518337408313,frailty_proxy_count_w1,0.2237526039467881,0.038165482458322735,5.86269554409876,4.55412798462548e-9,<0.001,1.250761547678491,1.160612935602181,1.3479122980301845
incident_chronic_lung_disease,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,30675,1329,0.04332518337408313,age_decade,0.19227824419886597,0.04629896428787431,4.152970744730538,3.281867092285221e-5,<0.001,1.2120077041651989,1.1068656410126032,1.3271372970001423
incident_chronic_lung_disease,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,30675,1329,0.04332518337408313,sexmale,0.11807315683040351,0.10442561178283491,1.1306915498465093,0.25818493920878205,0.258,1.1253264336711428,0.9170428840141127,1.38091642647709
incident_chronic_lung_disease,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,30675,1329,0.04332518337408313,smoke_everyes,0.4902851789769926,0.10695930312558767,4.58384791831822,4.564963139587555e-6,<0.001,1.632781788607155,1.323983433336543,2.0136025135063123
incident_chronic_lung_disease,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,30675,1329,0.04332518337408313,bmi_w1,-0.016768628875892283,0.018812759228870362,-0.8913434053925953,0.3727449693735131,0.373,0.9833711820115301,0.9477716919912442,1.0203078333971671
incident_chronic_lung_disease,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,30675,1329,0.04332518337408313,factor(interval)2,1.277078132299291,0.13903392580286683,9.185370584371128,4.10112728686637e-20,<0.001,3.5861461579976996,2.730737277422123,4.709513570877902
incident_chronic_lung_disease,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,30675,1329,0.04332518337408313,factor(interval)3,1.8608061470280823,0.12394404124864537,15.013276380871757,6.010399511728741e-51,<0.001,6.428917335604252,5.042368066400261,8.196739619910176
incident_asthma,svyglm_discrete_time,public_psu,survey_OR,32865,462,0.014057507987220448,(Intercept),-8.062114769344891,0.5739743950791392,-14.046122681541034,8.136859825252445e-45,<0.001,3.1525939893247324e-4,1.023507842247705e-4,9.710574214751422e-4
incident_asthma,svyglm_discrete_time,public_psu,survey_OR,32865,462,0.014057507987220448,resp_vulnerability_z,0.22300799691471518,0.14658706488451223,1.521334758223113,0.12817585199263612,0.128,1.2498305684844848,0.9377211550297175,1.6658219146914166
incident_asthma,svyglm_discrete_time,public_psu,survey_OR,32865,462,0.014057507987220448,age_decade,0.4233963677763289,0.07250883912470335,5.839237986532322,5.244011657864302e-9,<0.001,1.5271394849016116,1.3248232351331088,1.7603518299641243
incident_asthma,svyglm_discrete_time,public_psu,survey_OR,32865,462,0.014057507987220448,sexmale,-0.19208620279248936,0.1749866045607748,-1.097719469868196,0.2723270052910717,0.272,0.8252357278012649,0.585634181651725,1.1628658773279743
incident_asthma,svyglm_discrete_time,public_psu,survey_OR,32865,462,0.014057507987220448,smoke_everyes,0.756563375246545,0.18789279095511974,4.026569467624006,5.6596523999344706e-5,<0.001,2.1309403799931927,1.474462482858892,3.07970325177823
incident_asthma,svyglm_discrete_time,public_psu,survey_OR,32865,462,0.014057507987220448,bmi_w1,-6.106332179987023e-4,0.0013801275433299293,-0.4424469469867873,0.6581658130796084,0.658,0.9993895531805225,0.9966898076043568,1.0020966115897485
incident_asthma,svyglm_discrete_time,public_psu,survey_OR,32865,462,0.014057507987220448,factor(interval)2,1.2438428676046038,0.5107924631962322,2.4351237679220694,0.014886696769282809,0.015,3.4689184781292437,1.274672954891924,9.440378696139186
incident_asthma,svyglm_discrete_time,public_psu,survey_OR,32865,462,0.014057507987220448,factor(interval)3,1.4410234024472788,0.5014565933582984,2.8736752523216813,0.004057259087710307,0.004,4.225017498457384,1.5811753762030634,11.289559103264581
incident_asthma,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,32849,461,0.014033912752290784,(Intercept),-7.981998670498181,0.5704021613612209,-13.993633284014484,1.7047542417086903e-44,<0.001,3.415560817918934e-4,1.1166727056622725e-4,0.0010447157561699505
incident_asthma,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,32849,461,0.014033912752290784,resp_vulnerability_z,0.20695065152438208,0.14351392039455654,1.4420249335773263,0.14929533983335208,0.149,1.2299218755134451,0.928359125428007,1.629442506065848
incident_asthma,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,32849,461,0.014033912752290784,frailty_proxy_count_w1,0.09940768320016642,0.07913910732879204,1.2561132738984075,0.20907490417776267,0.209,1.1045165006045479,0.945818142138934,1.289842778178084
incident_asthma,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,32849,461,0.014033912752290784,age_decade,0.3926634793863224,0.08433961427635882,4.655741939957978,3.228160715212443e-6,<0.001,1.4809199453768103,1.255278970841519,1.7471207082714204
incident_asthma,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,32849,461,0.014033912752290784,sexmale,-0.13797855159080805,0.1794401844545755,-0.76893897545974,0.44192953836604776,0.442,0.8711173756273546,0.612821661290376,1.2382811020779543
incident_asthma,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,32849,461,0.014033912752290784,smoke_everyes,0.7312877606305055,0.18779661917221288,3.8940411379818367,9.85879192918159e-5,<0.001,2.077754536106172,1.4379325992900387,3.0022713960593634
incident_asthma,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,32849,461,0.014033912752290784,bmi_w1,-4.921169866111541e-4,0.0013161408099197052,-0.37390907029254494,0.708471968011879,0.708,0.9995080040830921,0.9969329600321477,1.002089699385555
incident_asthma,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,32849,461,0.014033912752290784,factor(interval)2,1.2424333870680102,0.5109660007006671,2.431538273318208,0.015034859775902382,0.015,3.4640325491710553,1.272444719031691,9.430289050865767
incident_asthma,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,32849,461,0.014033912752290784,factor(interval)3,1.4366638424526468,0.5032380037805408,2.8548397212845784,0.004305855307626804,0.004,4.206638372754166,1.5688099762549248,11.279764067647873
incident_chronic_lung_disease,svycox_cause_specific,public_county_community,survey_HR,10997,1330,0.12094207511139402,resp_vulnerability_z,0.20245791962751286,0.05488254555369847,3.6889309266718127,2.2519834291427293e-4,<0.001,1.2244085604695332,1.0995358435471134,1.3634628936831354
incident_chronic_lung_disease,svycox_cause_specific,public_county_community,survey_HR,10997,1330,0.12094207511139402,age_decade,0.19570141564676305,0.039651902206601995,4.935486187449009,7.995133916903935e-7,<0.001,1.2161637236579728,1.125225755771998,1.3144510736219972
incident_chronic_lung_disease,svycox_cause_specific,public_county_community,survey_HR,10997,1330,0.12094207511139402,sexmale,0.02066585706733737,0.10086149761859947,0.20489341875017392,0.837655397217903,0.838,1.020880874510432,0.8377607853463653,1.2440278635270525
incident_chronic_lung_disease,svycox_cause_specific,public_county_community,survey_HR,10997,1330,0.12094207511139402,smoke_everyes,0.46706466513195427,0.10061632914415018,4.642036427932129,3.4499201775185214e-6,<0.001,1.5953045606615486,1.309776693898072,1.9430767497421897
incident_chronic_lung_disease,svycox_cause_specific,public_county_community,survey_HR,10997,1330,0.12094207511139402,bmi_w1,-0.018723055433745233,0.017924227695667087,-1.0445669264886235,0.29622317213025,0.296,0.9814511321665653,0.947569928372453,1.0165437884732218
incident_chronic_lung_disease,svycox_plus_frailty,public_county_community,survey_HR,10993,1329,0.12089511507322842,resp_vulnerability_z,0.17060164644999232,0.0575386931946774,2.9649899394269483,0.0030269282827980093,0.003,1.1860182003467576,1.059530417688039,1.3276062188220474
incident_chronic_lung_disease,svycox_plus_frailty,public_county_community,survey_HR,10993,1329,0.12089511507322842,frailty_proxy_count_w1,0.18131271819146746,0.03508804459013867,5.167364562755502,2.3741789041565544e-7,<0.001,1.1987900041249124,1.119117189455362,1.284134930220486
incident_chronic_lung_disease,svycox_plus_frailty,public_county_community,survey_HR,10993,1329,0.12089511507322842,age_decade,0.1342025552934356,0.04328299500181236,3.1005838502584266,0.0019313952104215242,0.002,1.143624443370256,1.05060678222499,1.2448776170129874
incident_chronic_lung_disease,svycox_plus_frailty,public_county_community,survey_HR,10993,1329,0.12089511507322842,sexmale,0.09155015045447971,0.1035141643222032,0.884421480421909,0.3764687316225673,0.376,1.0958717337799688,0.8946366582083923,1.3423716163195438
incident_chronic_lung_disease,svycox_plus_frailty,public_county_community,survey_HR,10993,1329,0.12089511507322842,smoke_everyes,0.4524074661257768,0.10142478926356627,4.460521628002931,8.176040684851263e-6,<0.001,1.5720923924857184,1.288675412942939,1.9178409595534853
incident_chronic_lung_disease,svycox_plus_frailty,public_county_community,survey_HR,10993,1329,0.12089511507322842,bmi_w1,-0.01537379905603957,0.01754471324365803,-0.8762639116713297,0.3808865790478153,0.381,0.9847437745041158,0.9514563797034447,1.0191957530694795
incident_chronic_lung_disease,svycox_composite_disease_or_death,public_county_community,survey_HR,10997,2229,0.20269164317541147,resp_vulnerability_z,0.23031173029087437,0.042285582030363963,5.446578224357765,5.1348026775160255e-8,<0.001,1.2589924148357379,1.1588544678909694,1.3677833969079995
incident_chronic_lung_disease,svycox_composite_disease_or_death,public_county_community,survey_HR,10997,2229,0.20269164317541147,age_decade,0.5693462144347038,0.0356309223639056,15.978991748230909,1.7901806887006947e-57,<0.001,1.7671113617876884,1.6479129468874558,1.8949317504041685
incident_chronic_lung_disease,svycox_composite_disease_or_death,public_county_community,survey_HR,10997,2229,0.20269164317541147,sexmale,0.1260775416194157,0.10451164333056369,1.206349241114126,0.2276828587712719,0.228,1.1343701257693668,0.9242568411915647,1.3922489127362634
incident_chronic_lung_disease,svycox_composite_disease_or_death,public_county_community,survey_HR,10997,2229,0.20269164317541147,smoke_everyes,0.4203565273405108,0.08838540041210083,4.755949799181539,1.9751555173423564e-6,<0.001,1.522504273265509,1.280334206312443,1.8104798346269164
incident_chronic_lung_disease,svycox_composite_disease_or_death,public_county_community,survey_HR,10997,2229,0.20269164317541147,bmi_w1,-0.0035861313614483905,0.01140687101333532,-0.31438344110808186,0.7532298311498966,0.753,0.9964202911280317,0.974390045072711,1.0189486249293347
incident_chronic_lung_disease,svycox_raw_pef_sensitivity,public_county_community,survey_HR,10997,1330,0.12094207511139402,pef_per_100_l_min,-0.18688283722935453,0.05130996698312691,-3.6422326541510004,2.702836230436836e-4,<0.001,0.8295409220048104,0.7501737950850007,0.9173049575833548
incident_chronic_lung_disease,svycox_raw_pef_sensitivity,public_county_community,survey_HR,10997,1330,0.12094207511139402,age_decade,0.07182527806150182,0.04779830133666652,1.5026742803180744,0.13292305821218697,0.133,1.074467594601334,0.9783777925785448,1.1799947020523713
incident_chronic_lung_disease,svycox_raw_pef_sensitivity,public_county_community,survey_HR,10997,1330,0.12094207511139402,sexmale,0.429404634432693,0.12812521753644807,3.3514451150925018,8.039097262161419e-4,<0.001,1.5363425657448893,1.195158972673199,1.9749242847921928
